1,AAA,CTCP Nhựa An Phát Xanh,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
2,AAM,CTCP Thủy sản MeKong,Sản xuất thực phẩm,HOSE,,,,
3,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Bán buôn hàng tiêu dùng,HOSE,,,,
4,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Sản xuất thực phẩm,HOSE,,,,
5,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
6,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Sản xuất thực phẩm,HOSE,,,,
7,ADS,CTCP Damsan,"Sản xuất sợi, vải",HOSE,,,,
8,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển bất động sản,HOSE,,,,
9,AGM,CTCP Xuất nhập khẩu An Giang,Sản xuất thực phẩm,HOSE,,,,
10,AGR,CTCP Chứng khoán Agribank,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
11,AMD,CTCP Đầu tư và Khoáng sản FLC AMD,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",HOSE,,,,
12,ANV,CTCP Nam Việt,Sản xuất thực phẩm,HOSE,,,,
13,APC,CTCP Chiếu xạ An Phú,Hoạt động hỗ trợ cho nông lâm nghiệp,HOSE,,,,
14,APG,CTCP Chứng khoán APG,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
15,ASM,CTCP Tập đoàn Sao Mai,Chăn nuôi,HOSE,,,,
16,ASP,CTCP Tập đoàn Dầu khí An Pha,Phân phối khí đốt thiên nhiên,HOSE,,,,
17,AST,CTCP Dịch vụ Hàng không Taseco,Của hàng hàng hóa tổng hợp,HOSE,,,,
18,ATG,CTCP An Trường An,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
19,BBC,CTCP Bibica,Sản xuất thực phẩm,HOSE,,,,
20,BCE,CTCP Xây dựng và Giao thông Bình Dương,Phát triển bất động sản,HOSE,,,,
21,BCG,CTCP Bamboo Capital,Sản xuất thực phẩm,HOSE,,,,
22,BFC,CTCP Phân bón Bình Điền,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
23,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Sản xuất đồ uống và thuốc lá,HOSE,,,,
24,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm và các hoạt động liên quan,HOSE,,,,
25,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
26,BMC,CTCP Khoáng sản Bình Định,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
27,BMI,Tổng Công ty cổ phần Bảo Minh,Bảo hiểm và các hoạt động liên quan,HOSE,,,,
28,BMP,CTCP Nhựa Bình Minh,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
29,BRC,CTCP Cao su Bến Thành,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
30,BSI,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
31,BTP,CTCP Nhiệt điện Bà Rịa,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
32,BTT,CTCP Thương mại Dịch vụ Bến Thành,Của hàng hàng hóa tổng hợp,HOSE,,,,
33,BVH,Tập đoàn Bảo Việt,Bảo hiểm và các hoạt động liên quan,HOSE,,,,
34,BWE,CTCP Nước - Môi trường Bình Dương,"Nước, chất thải và các hệ thống khác",HOSE,,,,
35,C32,CTCP CIC39,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
36,C47,CTCP Xây dựng 47,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
37,CAV,CTCP Dây Cáp điện Việt Nam,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
38,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Trạm xăng,HOSE,,,,
39,CCL,CTCP Đầu Tư và Phát triển Đô Thị Dầu khí Cửu Long,Bất động sản,HOSE,,,,
40,CDC,CTCP Chương Dương,Phát triển bất động sản,HOSE,,,,
41,CEE,CTCP Xây dựng Hạ tầng CII,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
42,CHP,CTCP Thủy điện Miền Trung,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
43,CIG,CTCP COMA 18,Phát triển bất động sản,HOSE,,,,
