STT,Mã,Tên công ti,Nhóm ngành,VN30
1,AAA,CTCP Nhựa An Phát Xanh,Sản Xuất Nhựa - Hóa Chất,0
2,AAM,CTCP Thủy sản MeKong,Chế Biến Thủy Sản,0
3,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Bán buôn,0
4,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Chế Biến Thủy Sản,0
5,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Vật Liệu Xây Dựng,0
6,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Chế Biến Thủy Sản,0
7,ADS,CTCP Damsan,SX Hàng Gia Dụng,0
8,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Bất động sản,0
9,AGM,CTCP Xuất nhập khẩu An Giang,Thực Phẩm - Đồ Uống,0
10,AGR,CTCP Chứng khoán Agribank,Chứng khoán,0
11,AMD,CTCP Đầu tư và Khoáng sản FLC AMD,Bán lẻ,0
12,ANV,CTCP Nam Việt,Chế Biến Thủy Sản,0
13,APC,CTCP Chiếu xạ An Phú,Nông-Lâm-Ngư,0
14,APG,CTCP Chứng khoán APG,Chứng khoán,0
15,ASM,CTCP Tập đoàn Sao Mai,Nông-Lâm-Ngư,0
16,ASP,CTCP Tập đoàn Dầu khí An Pha,Tiện ích,0
17,AST,CTCP Dịch vụ Hàng không Taseco,Bán lẻ,0
18,ATG,CTCP An Trường An,Khai khoáng,0
19,BBC,CTCP Bibica,Thực Phẩm - Đồ Uống,0
20,BCE,CTCP Xây dựng và Giao thông Bình Dương,Bất động sản,0
21,BCG,CTCP Bamboo Capital,Thực Phẩm - Đồ Uống,0
22,BFC,CTCP Phân bón Bình Điền,Sản Xuất Nhựa - Hóa Chất,0
23,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Thực Phẩm - Đồ Uống,0
24,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm,0
25,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng,1
26,BMC,CTCP Khoáng sản Bình Định,Khai khoáng,0
27,BMI,Tổng Công ty cổ phần Bảo Minh,Bảo hiểm,0
28,BMP,CTCP Nhựa Bình Minh,Sản Xuất Nhựa - Hóa Chất,0
29,BRC,CTCP Cao su Bến Thành,Sản Phẩm Cao Su,0
