STT,Ngày,Mã,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi giá (đ),Thay đổi giá (%),KLGD khớp lệnh (cổ phiếu),GTGD khớp lệnh (triệu đồng),KLGD thỏa thuận (cổ phiếu),GTGD thỏa thuận (triệu đồng),KL Tổng GD,GT Tổng GD (triệu đồng),Vốn hóa thị trường (triệu đồng)
1,4/7/2020,AAA,10.8,10.95,10.65,11,10.45,10.63,-150,-1.39,"1,513,250","16,098",0,0,"1,513,250","16,098","1,823,280"
2,4/7/2020,AAM,11.9,12.3,12,12.3,12,13.51,100,0.84,390,5,0,0,390,5,"125,414"
3,4/7/2020,ABS,28.75,30.75,30.75,30.75,30.75,30.76,"2,000",6.96,"67,880","2,087",0,0,"67,880","2,087","885,600"
4,4/7/2020,ABT,32.6,33,33,33,33,35.29,400,1.23,170,6,0,0,170,6,"379,409"
5,4/7/2020,ACC,19,19,19,19,19,0,0,0,20,0,0,0,20,0,"190,000"
6,4/7/2020,ACL,18,18,18,18.1,16.95,17.89,0,0,"5,190",93,0,0,"5,190",93,"410,394"
7,4/7/2020,ADS,9.95,10.15,10.6,10.6,10.15,10.45,650,6.53,"2,010",21,0,0,"2,010",21,"270,489"
8,4/7/2020,AGG,28.2,28.2,28.4,28.4,27.7,27.9,200,0.71,"257,670","7,192",0,0,"257,670","7,192","2,130,000"
9,4/7/2020,AGM,10.75,11.45,11.5,11.5,10.8,11.42,750,6.98,"67,550",771,0,0,"67,550",771,"209,300"
10,4/7/2020,AGR,2.57,2.69,2.56,2.69,2.45,2.55,-10,-0.39,"118,140",302,0,0,"118,140",302,"540,672"
11,4/7/2020,AMD,2.98,2.98,2.78,2.98,2.78,2.8,-200,-6.71,"9,186,170","25,786",0,0,"9,186,170","25,786","454,544"
12,4/7/2020,ANV,14.85,15.75,15.85,15.85,14.95,15.5,"1,000",6.73,"417,590","6,477",0,0,"417,590","6,477","2,014,977"
13,4/7/2020,APC,13.7,13.7,14.4,14.65,13.7,14.47,700,5.11,"36,820",533,0,0,"36,820",533,"286,632"
14,4/7/2020,APG,8.4,8.5,8.6,8.6,8.44,8.49,200,2.38,"1,759,160","14,939",0,0,"1,759,160","14,939","292,649"
15,4/7/2020,ASM,3.88,4.15,4.15,4.15,4.01,4.14,270,6.96,"2,680,580","11,108",0,0,"2,680,580","11,108","1,074,302"
